,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,wpeakf,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope,inv_slope,g,i,workres
91,20191216-3-scan-80,20191216,trpa1,3,scan-80,12,40,7.62,0.44,334,5.877,40,29.59,1.515029845,-80.02367176,-80.02198459,38.94521434,816.04,870.9570636,650.005,779.1317419,743.045,739.3903297,-52.8198649,2.500490004,6.911521538,166.035,37.05809769,9149,55.01980905,593.7931221,-0.019,-52.63157895,,,
92,20191216-6-scan-80,20191216,trpa1,6,scan-80,6,40,7.62,0.44,329,6.618,50,17.03,1.605264445,-80.02580651,-80.02396265,213.3912697,658.52,868.0265408,650.005,558.5613949,796.125,495.7646095,-49.85210178,8.211365078,6.877317823,8.515,42.59795419,4950,716.460798,452.3167701,0.986,1.014198783,,,
93,20191216-7-scan-80,20191216,trpa1,7,scan-80,12,40,7.62,0.44,329,7.21,50,27.25,0.798196951,-80.02574409,-80.0239277,128.2360944,667.48,1114.172268,650.005,759.030945,697.525,699.6241104,-100.258143,3.725504833,5.39361707,17.475,30.69359018,4922,897.98145,604.0856827,0.339,2.949852507,,,
94,20191204-4-scan-80,20191204,trpv4,4,scan-80,12,40,8.42,0.5,324,4.71,60,22.85,3.408041588,-80.01158716,-80.0086598,21.45907523,548,1054.174155,650.205,628.5782631,737.805,576.1943797,-23.4772919,0.705184242,4.109766332,-102.205,21.2540159,2449,17.19733069,14.86635277,-0.004,-250,,,
95,20191008-2-scan-80,20191008,yfp,2,scan-80,7,40,5.25,0.5,326,5.5,55,24.31,1.010454397,-79.99053892,-79.98979018,22.97685458,752.84,414.4000816,649.805,549.2794881,747.845,538.3920708,-79.16293814,0.0487257,5.57771521,103.035,27.93730175,0,,,0,#DIV/0!,,,
96,20191008-5-scan-80,20191008,yfp,5,scan-80,11,40,5.25,0.5,322,6,55,36.06,0.667413572,-80.00383456,-80.00200117,236.6820559,659.72,1240.791698,650.285,1074.481869,747.245,961.736101,-119.871453,5.604599707,7.737294282,9.435,44.29107112,4974,1178.93255,927.5481815,1.966,0.508646999,,,
97,20191216-4-scan-80,20191216,yfp,4,scan-80,9,40,7.62,0.44,325,8.182,50,20.14,3.368538363,-80.02349702,-80.02239167,106.1155762,658.6,809.7565479,649.805,698.8381391,746.005,656.3296594,-23.75614834,3.041992344,4.945972578,8.795,27.77185524,4936,719.9839084,590.9420731,3.49,0.286532951,,,
98,20191216-5-scan-80,20191216,yfp,5,scan-80,14,40,7.62,0.44,325,7.973,40,28.66,0.405506164,-80.02325983,-80.02260397,164.8367097,694.52,1086.770745,650.165,904.849127,795.885,774.2811374,-197.3416609,-3.751091036,7.792712314,44.355,42.71465261,5004,1086.770745,774.2811374,0.036,27.77777778,,,
99,20200120-7-scan-80,20200120,yfp,7,scan-80,16,40,7.59,0.42,337,8.284,65,28.89,2.031508413,-80.0185283,-80.01669211,25.32658048,793.08,528.6458586,650.045,1042.335502,861.485,469.6715653,-39.38872603,4.126725363,4.71045551,143.035,27.67900291,0,,,0.009,111.1111111,,,
100,20200120-9-scan-80,20200120,yfp,9,scan-80,1,40,7.59,0.42,318,5.409,65,24.25,1.755567433,-80.0190152,-80.015241,27.83059148,794.52,586.3234135,649.965,623.7842681,803.645,450.9052288,-45.58014331,1.388711471,5.188764709,144.555,27.33253501,8612,-20.75348233,620.2727845,-0.007,-142.8571429,,,
