,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope
1,20200227-5-scan-80,20200227,mp1,5,scan-80,1,40,0.63,0.04,324,7.369,50,26.46,1.601302698,-79.99859127,-79.99817356,3036.682499,907.28,349.2762647,900.605,405.5971191,998.005,-49.95844406,1.023202039,5.450079323,6.675,28.27359866,5789,216.8490657,205.6844354,22.906
2,20200227-6-scan-80,20200227,mp1,6,scan-80,8,40,0.63,0.04,328,10.67,55,15.18,8.287000608,-79.99665621,-79.99548027,2034.482702,906.44,322.7309988,900.205,352.2920136,998.485,-9.653270223,-0.166076543,3.800382136,6.235,19.16798722,5587,148.8553444,130.6020711,17.622
3,20200227-7-scan-80,20200227,mp1,7,scan-80,8,40,0.63,0.04,320,7.155,55,18.55,3.350568021,-80.0004139,-79.998517,1136.594048,904.52,400.1283232,900.245,450.5884358,995.605,-23.87667207,1.772263348,3.895096435,4.275,21.24774552,5813,266.5063081,218.2214059,8.999
4,20200303-6-scan-80,20200303,mp1,6,scan-80,8,40,0.74,0.05,319,8.403,55,23.14,2.352342316,-80.00231151,-80.00118531,464.915263,906.08,531.8414758,900.405,549.1814077,998.205,-34.00963839,-3.49286328,4.442890987,5.675,25.70731821,6044,443.0319811,364.9350693,2.251
5,20200303-8-scan-80,20200303,mp1,8,scan-80,1,40,0.74,0.05,321,6.525,55,15.83,0.694874403,-80.01581936,-80.01419391,635.7045591,908.2,465.2533384,900.325,356.3015295,1000.085,-115.1514849,-0.968589001,6.57885276,7.875,33.8628528,6065,357.1062044,234.9005698,9.991
6,20200303-9-scan-80,20200303,mp1,9,scan-80,16,40,0.74,0.05,320,7.813,50,24.1,1.505094926,-80.01354715,-80.01229569,38.39839549,940.48,596.8240553,900.325,440.269337,1088.405,-53.1617945,1.962545756,5.393169369,40.155,28.9283926,7258,538.1776241,414.9098761,0.011
7,20200227-3-scan-80,20200227,mp1flna,3,scan-80,5,40,0.63,0.04,318,5.922,55,24,0.423801443,-80.00051379,-79.99913725,1074.136813,905.88,219.8779102,899.885,274.623856,998.365,-188.7688563,1.223824595,6.521527685,5.995,33.83146302,5902,150.6946185,169.2226324,10.037
8,20200227-4-scan-80,20200227,mp1flna,4,scan-80,11,40,0.63,0.04,324,8.299,55,32.36,1.003160394,-79.99754263,-79.99685607,42.37640831,977.36,354.6919219,900.765,451.6684175,992.845,-79.74551539,-3.839207854,6.867112661,76.595,38.17477116,8181,240.3145822,447.8844243,-0.034
9,20200303-3-scan-80,20200303,mp1flna,3,scan-80,8,40,0.74,0.05,317,10.82,45,25.6,4.10715488,-80.00826642,-80.00638462,967.0574129,906.28,323.015194,900.285,386.1869146,1000.005,-19.48021654,-1.934960897,3.868121457,5.995,21.27556818,5894,222.3867262,216.0813237,8.975
10,20200303-4-scan-80,20200303,mp1flna,4,scan-80,11,40,0.74,0.05,317,9.054,40,29.04,0.60490129,-80.0032228,-80.00193252,1281.26854,905.24,445.9087145,900.165,443.3462057,999.605,-132.2583108,-0.500732215,6.090703741,5.075,30.95425092,5944,317.4377308,252.7539632,16.005
11,20200303-5-scan-80,20200303,mp1flna,5,scan-80,1,40,0.74,0.05,319,7.428,45,24.31,2.973985353,-80.00354748,-80.00226557,5065.314414,905.84,562.5431959,900.365,514.8129906,998.685,-26.90112357,-0.006921067,3.926523417,5.475,19.63953815,5586,247.0562812,157.1440981,26.304
12,20200205-1-scan-80,20200205,mp2,1,scan-80,9,40,0.72,0.04,322,9.27,45,21.39,0.789860214,-80.01422128,-80.01159013,238.3771747,899.44,251.8262317,899.805,327.7981528,998.845,-101.3017492,6.724247595,3.898055016,-0.365,26.21452267,5324,84.10624313,86.14651741,0.897
13,20200205-2-scan-80,20200205,mp2,2,scan-80,4,40,0.72,0.04,320,4.715,60,17.94,0.861263286,-80.01365956,-80.01263496,37.46904261,904.72,531.1086032,900.725,439.185812,987.925,-92.90267079,-2.340281673,7.047513016,3.995,37.57784675,0,,,0.033
14,20200212-1-scan-80,20200212,mp2,1,scan-80,1,40,0.66,0.04,0,5.668,55,22.33,1.915916385,-80.0112875,-80.00980221,321.5419648,901.6,261.6773057,900.085,276.583975,992.405,-41.76136711,0.45335584,4.289859778,1.515,21.90265473,5241,63.58218953,67.21368796,6.25
15,20200212-2-scan-80,20200212,mp2,2,scan-80,1,40,0.66,0.04,0,10.97,50,30.4,0.657115781,-80.01222384,-80.0105453,268.2899079,903,411.2342739,900.205,555.231971,993.365,-121.7627489,-2.151043536,5.958766582,2.795,31.94487645,5557,220.9618954,233.1194264,0.827
16,20200212-3-scan-80,20200212,mp2,3,scan-80,1,40,0.66,0.04,0,9.594,35,23.73,1.402520122,-80.00576958,-80.00382662,506.8790033,903.76,415.0906555,900.085,420.0078338,986.605,-57.04429358,0.119319798,3.477728109,3.675,17.50796034,5187,92.25737474,99.81593417,1.713
17,20200214-1-scan-80,20200214,mp2,1,scan-80,1,40,0.67,0.04,0,9.613,55,23.04,0.857380242,-80.01082563,-80.00980013,161.7359413,901.04,157.4081519,900.205,153.1033945,989.925,-93.32011831,7.758126762,6.596316755,0.835,40.73971054,6063,121.0608701,108.3961654,5.79
18,20200214-2-scan-80,20200214,mp2,2,scan-80,4,40,0.67,0.04,0,5.383,60,18.9,2.344549029,-80.01333498,-80.01014356,1292.901654,900.4,159.5173867,900.765,194.0316086,996.645,-34.12738825,2.052107804,4.761869367,-0.365,25.86145464,5099,28.11094516,37.46597649,8.006
19,20200217-1-scan-80,20200217,mp2,1,scan-80,2,40,0.67,0.04,0,9.857,50,26.15,0.974068317,-80.01839099,-80.01701417,51.66048681,896.12,318.0941037,900.725,342.7427009,999.485,-82.14864359,-1.014477553,6.07969167,-4.605,31.4129359,6137,286.8441061,262.1640771,0.533
20,20200217-2-scan-80,20200217,mp2,2,scan-80,3,40,0.67,0.04,0,8.799,50,21.14,0.349954939,-80.01256099,-80.01115511,411.4721014,902.2,268.8964262,899.805,435.0014336,1237.845,-228.6367534,-1.263975217,9.426008173,2.395,48.39401608,5516,93.70477475,100.3029521,1.983
21,20200218-1-scan-80,20200218,mp2,1,scan-80,8,40,0.95,0.05,322,7.548,55,22.52,4.807565828,-79.98864132,-79.98715882,555.7849783,901.16,182.3738779,899.805,217.8879016,993.005,-16.63807511,0.583124187,4.362400423,1.355,22.3951263,5324,55.19277447,58.82309864,2.946
22,20200218-3-scan-80,20200218,mp2,3,scan-80,1,40,0.95,0.05,324,7.199,45,26.28,0.460493281,-80.00706793,-80.00465499,243.2474024,909.56,807.3911793,900.645,788.7310216,1248.805,-173.7420961,0.735366828,5.32326569,8.915,27.35169528,5439,270.5467126,223.3657383,0.372
23,20200219-1-scan-80,20200219,mp2,1,scan-80,11,40,0.89,0.05,324,11.98,40,27.32,1.845785952,-79.99045149,-79.99000618,539.3360017,901,203.1915309,899.805,309.4247475,998.005,-43.33679721,3.236988908,3.278949517,1.195,19.63173649,4973,58.30091891,59.17780786,2.308
24,20200219-2-scan-80,20200219,mp2,2,scan-80,5,40,0.89,0.05,320,10,35,19.09,4.096441188,-80.00173726,-80.00107293,1401.997103,900.76,245.8804901,899.805,271.8173885,993.645,-19.52957057,4.44007293,3.854446594,0.955,23.7123059,5569,93.27405983,91.27181786,18.079
25,20200212-4-scan-80,20200212,mp2flna,4,scan-80,3,40,0.66,0.04,0,6.435,50,24.91,2.945336863,-80.00278589,-80.00021959,134.0834084,900.64,368.4788744,900.085,232.2756479,994.765,-27.16252491,-0.677350744,4.644335628,0.555,23.89902888,5721,128.4491655,84.81105047,0.473
